Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.5752869,1.1722288,1.3954189,1.2472328,1.3878274,1.1361945
1.5750844,1.164941,1.3945079,1.2447023,1.4144483,1.1358908
1.5792345,1.1503654,1.4006823,1.2607963,1.3964311,1.1403445
1.5832832,1.1730386,1.3970385,1.2471316,1.4191045,1.1418629
1.5655698,1.154414,1.3862079,1.2461194,1.3853981,1.1269835
1.5883442,1.1653459,1.3893458,1.2490548,1.3911676,1.1410531
1.5819674,1.1656495,1.3977469,1.2489536,1.4011885,1.1340688
1.5908748,1.1555275,1.3789201,1.2502694,1.3870176,1.1281981
1.585915,1.1632203,1.3856006,1.2404511,1.3918762,1.1461141
1.5728576,1.1558312,1.3949128,1.2338718,1.405541,1.131336
1.5823723,1.1552238,1.3904592,1.2398437,1.4112092,1.1426725
1.5786271,1.1425713,1.3979495,1.2427791,1.3957226,1.1329554
1.5892552,1.1632203,1.3936982,1.2356938,1.4023019,1.1401421
1.5843966,1.1592727,1.3910664,1.2387303,1.4076666,1.1331578
1.5849028,1.1630177,1.391775,1.244095,1.4048324,1.1400409
1.5749832,1.1735446,1.3990629,1.2475365,1.409286,1.1123066
1.5854088,1.1552238,1.394103,1.2496622,1.3940018,1.129514
1.5800442,1.1628153,1.3973421,1.2567475,1.3831713,1.1297164
1.5867248,1.1510738,1.3933945,1.2547231,1.390358,1.1370043
1.5709344,1.1500616,1.3940018,1.2492572,1.4090836,1.1371055
1.5853076,1.1688886,1.3939006,1.2512816,1.4029092,1.1401421
1.5655698,1.1586653,1.3907628,1.2558365,1.3993665,1.1274896
1.5741735,1.1689898,1.4044275,1.2577597,1.3898518,1.1173676
1.5880406,1.1481384,1.3856006,1.2562414,1.3851957,1.1172664
1.5780199,1.166763,1.3900542,1.2553304,1.3915726,1.1447982
1.5956321,1.1739496,1.3964311,1.2485487,1.393597,1.1407495
1.5987699,1.1675727,1.4010873,1.2528,1.3948116,1.1416603
